	filename	total_features	plantmasst_features	percentage	Sample_type	MS_type	PERIOD	TREAT	wet_weight	SampleID	diet
82	Sep2023_conjBA_BeefDiet_086_L1-131.mzML	226252336.3694398	40579285.426960014	17.935410558898923	L1-131	MS1_pos	DP2	MED5.5	27.6	232.0	Mediterranean
81	Sep2023_conjBA_BeefDiet_090_L1-9.mzML	189515781.05972317	54222256.24016998	28.610945187241487	L1-9	MS1_pos	DP3	MED0.5	25.3	202.0	Mediterranean
80	Sep2023_conjBA_BeefDiet_092_L1-133.mzML	205861434.95385802	34660895.53001	16.837002781885264	L1-133	MS1_pos	DP4	MED2.5	25.5	232.0	Mediterranean
76	Sep2023_conjBA_BeefDiet_096_L1-110.mzML	86533329.5556249	18084612.61673001	20.899013951734	L1-110	MS1_pos	DP2	MED0.5	25.7	227.0	Mediterranean
74	Sep2023_conjBA_BeefDiet_072_L1-144.mzML	132139469.64974178	25116217.343450014	19.00735443393623	L1-144	MS1_pos	DP2	MED0.5	26.0	236.0	Mediterranean
71	Sep2023_conjBA_BeefDiet_078_L1-68.mzML	149965235.5155047	34749261.383020006	23.171544567358968	L1-68	MS1_pos	DP4	MED5.5	22.7	216.0	Mediterranean
70	Sep2023_conjBA_BeefDiet_083_L1-14.mzML	148762398.68660596	42144627.87833998	28.33016155320608	L1-14	MS1_pos	DP2	MED2.5	28.0	204.0	Mediterranean
68	Sep2023_conjBA_BeefDiet_079_L1-44.mzML	112668655.10270706	31446151.019259986	27.91029234403672	L1-44	MS1_pos	DP1	MED5.5	23.9	211.0	Mediterranean
85	Sep2023_conjBA_BeefDiet_087_L1-70.mzML	243470276.5557189	38541099.15555	15.829899115726251	L1-70	MS1_pos	DP1	MED0.5	26.8	217.0	Mediterranean
65	Sep2023_conjBA_BeefDiet_069_L1-97.mzML	156881334.196041	28154222.396500014	17.946190055547415	L1-97	MS1_pos	DP2	MED2.5	25.4	224.0	Mediterranean
58	Sep2023_conjBA_BeefDiet_073_L1-127.mzML	166558219.70846394	31143021.5857	18.697979385353275	L1-127	MS1_pos	DP4	MED0.5	23.5	230.0	Mediterranean
53	Sep2023_conjBA_BeefDiet_063_L1-82.mzML	129181528.2296891	30926420.85569999	23.940280998001334	L1-82	MS1_pos	DP3	MED0.5	25.6	219.0	Mediterranean
51	Sep2023_conjBA_BeefDiet_055_L1-50.mzML	173970897.48805526	37539969.88571	21.578304433526	L1-50	MS1_pos	DP2	MED0.5	25.1	212.0	Mediterranean
50	Sep2023_conjBA_BeefDiet_053_L1-124.mzML	250500878.30693313	43426968.81333	17.336054510802914	L1-124	MS1_pos	DP1	MED2.5	26.6	230.0	Mediterranean
49	Sep2023_conjBA_BeefDiet_051_L1-80.mzML	122196924.53289607	26695462.645574987	21.846263928179653	L1-80	MS1_pos	DP1	MED5.5	22.1	219.0	Mediterranean
48	Sep2023_conjBA_BeefDiet_066_L1-8.mzML	127012131.89626911	40118958.13517003	31.58671343926044	L1-8	MS1_pos	DP2	MED5.5	25.6	202.0	Mediterranean
47	Sep2023_conjBA_BeefDiet_061_L1-57.mzML	186807595.1974742	27520070.971420012	14.731773053621595	L1-57	MS1_pos	DP3	MED0.5	24.8	214.0	Mediterranean
46	Sep2023_conjBA_BeefDiet_062_L1-19.mzML	130322253.85796693	26887673.88065999	20.631682682501644	L1-19	MS1_pos	DP1	MED2.5	27.2	206.0	Mediterranean
43	Sep2023_conjBA_BeefDiet_052_L1-4.mzML	210403905.38528767	38389995.42988998	18.245856872091295	L1-4	MS1_pos	DP3	MED2.5	27.0	201.0	Mediterranean
59	Sep2023_conjBA_BeefDiet_076_L1-42.mzML	205016597.1790448	38817634.070966005	18.933898330712143	L1-42	MS1_pos	DP4	MED5.5	27.8	210.0	Mediterranean
158	Sep2023_conjBA_BeefDiet_163_L1-101.mzML	142893538.0681701	24699905.06210999	17.28552976995113	L1-101	MS1_pos	DP1	MED0.5	24.4	225.0	Mediterranean
