Species,Plant_Family,Acetylcholine,Cannabidiol,Dopamine,Glutamic_acid,Norepinephrine,Serotonin,THC,Tryptamine
Neonauclea,Rubiaceae,0,0,0,0,1,0,0,0
Nicotiana attenuata,Solanaceae,0,0,0,0,0,1,0,0
Nicotiana benthamiana,Solanaceae,0,0,0,1,0,0,0,0
Nicotiana occidentalis,Solanaceae,0,0,0,0,0,1,0,0
Nicotiana rustica,Solanaceae,0,0,0,0,0,1,0,0
Nicotiana sylvestris,Solanaceae,0,0,0,0,0,1,0,0
Nicotiana tabacum,Solanaceae,0,0,0,0,0,1,0,1
Nicotiana tomentosiformis,Solanaceae,0,0,0,0,0,1,0,0
Niedenzuella acutifolia,Malpighiaceae,0,0,0,0,0,1,0,1
Nymphaea nouchali,Nymphaeaceae,0,0,0,1,0,0,0,0
Nyssa sylvatica,Nyssaceae,0,0,0,0,0,1,0,0
Ochrosia elliptica,Apocynaceae,0,0,0,0,0,1,0,0
Ocimum basilicum,Lamiaceae,0,0,0,0,0,1,0,0
Ocotea aciphylla,Lauraceae,0,0,1,0,0,0,0,0
Ocotea whitei,Lauraceae,0,0,1,0,0,1,0,0
Oenothera speciosa,Onagraceae,0,0,1,0,0,0,0,0
Onoclea sensibilis,Onocleaceae,0,0,0,0,1,0,0,0
Origanum vulgare,Lamiaceae,0,0,1,0,0,0,0,0
Oryza barthii,Poaceae,0,0,0,1,0,1,0,0
Oryza glaberrima,Poaceae,0,0,0,0,0,1,0,0
Oryza sativa Japonica Group,Poaceae,0,0,0,0,0,1,0,0
Osmanthus fragrans,Oleaceae,0,0,1,0,0,0,0,0
Ostrya virginiana,Betulaceae,0,0,0,1,0,0,0,0
Pachyrhizus erosus,Fabaceae,0,0,0,0,0,1,0,0
Panicum hallii,Poaceae,0,0,0,0,0,1,0,0
Panicum miliaceum,Poaceae,0,0,0,0,0,1,0,0
Papaver armeniacum,Papaveraceae,0,0,0,0,1,0,0,0
Papaver atlanticum,Papaveraceae,0,0,0,0,1,0,0,0
Papaver nudicaule,Papaveraceae,0,0,0,0,1,1,0,0
Papaver somniferum,Papaveraceae,0,0,0,0,1,0,0,0
Paraleonurus japonicus,Lamiaceae,0,0,0,1,0,0,0,0
