TaxID	no rank	superkingdom	kingdom	phylum	class	order	family	genus	subgenus	species	varietas	subspecies	forma
3311			Viridiplantae	Streptophyta	Ginkgoopsida	Ginkgoales	Ginkgoaceae	Ginkgo		Ginkgo biloba			
51240			Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Juglandaceae	Juglans		Juglans regia			
109975			Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Solanum		Solanum americanum			
29655			Viridiplantae	Streptophyta	Magnoliopsida	Alismatales	Zosteraceae	Zostera		Zostera marina			
221162			Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Scopolia		Scopolia japonica			
349509			Viridiplantae	Streptophyta	Magnoliopsida	Magnoliales	Magnoliaceae	Magnolia		Magnolia obovata			
388580			Viridiplantae	Streptophyta	Magnoliopsida	Poales	Juncaceae	Juncus		Juncus decipiens			
202969			Viridiplantae	Streptophyta	Magnoliopsida	Saxifragales	Crassulaceae	Hylotelephium		Hylotelephium erythrostictum			
103991			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Campanulaceae	Adenophora		Adenophora remotiflora			
180062			Viridiplantae	Streptophyta	Magnoliopsida	Dipsacales	Adoxaceae	Sambucus		Sambucus williamsii			
83906			Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Urticaceae	Boehmeria		Boehmeria nivea			
103480			Viridiplantae	Streptophyta	Magnoliopsida	Fagales	Fagaceae	Castanea		Castanea crenata			
1245714			Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Papaveraceae	Chelidonium		Chelidonium majus		Chelidonium majus subsp. asiaticum	
1045115			Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Silene	Silene subgen. Behenantha	Silene firma			
345239			Viridiplantae	Streptophyta	Magnoliopsida	Geraniales	Geraniaceae	Geranium		Geranium thunbergii			
316491			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Violaceae	Viola	Viola subgen. Viola	Viola mandshurica			
223100			Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Orobanche		Orobanche coerulescens			
189791			Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Tamaricaceae	Tamarix		Tamarix chinensis			
78707			Viridiplantae	Streptophyta	Magnoliopsida	Asparagales	Orchidaceae	Bletilla		Bletilla striata			
65557			Viridiplantae	Streptophyta	Magnoliopsida	Malvales	Malvaceae	Alcea		Alcea rosea			
41568			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Chrysanthemum		Chrysanthemum x morifolium			
326968			Viridiplantae	Streptophyta	Magnoliopsida	Rosales	Rhamnaceae	Ziziphus		Ziziphus jujuba			
39271			Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Lamiaceae	Agastache		Agastache rugosa			
3677			Viridiplantae	Streptophyta	Magnoliopsida	Cucurbitales	Cucurbitaceae	Trichosanthes		Trichosanthes kirilowii			
48101			Viridiplantae	Streptophyta	Magnoliopsida	Apiales	Apiaceae	Angelica		Angelica dahurica			
152358			Viridiplantae	Streptophyta	Magnoliopsida	Ranunculales	Menispermaceae	Nephroia		Nephroia orbiculata			
41550			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Cirsium		Cirsium arvense			
76025			Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Polygonaceae	Fallopia		Fallopia multiflora			
94286			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Campanulaceae	Platycodon		Platycodon grandiflorus			
155640			Viridiplantae	Streptophyta	Magnoliopsida	Sapindales	Meliaceae	Melia		Melia azedarach			
4164			Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Plantaginaceae	Digitalis		Digitalis purpurea			
368926			Viridiplantae	Streptophyta	Magnoliopsida	Asterales	Campanulaceae	Lobelia		Lobelia chinensis			
4432			Viridiplantae	Streptophyta	Magnoliopsida	Proteales	Nelumbonaceae	Nelumbo		Nelumbo nucifera			
35625			Viridiplantae	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Datura		Datura metel			
